mode: set
webapp/cmd/api/utilities.go:10.110,15.19 2 1
webapp/cmd/api/utilities.go:34.2,39.16 4 1
webapp/cmd/api/utilities.go:42.2,42.12 1 1
webapp/cmd/api/utilities.go:15.19,20.17 4 1
webapp/cmd/api/utilities.go:23.3,23.18 1 1
webapp/cmd/api/utilities.go:20.17,22.4 1 0
webapp/cmd/api/utilities.go:24.8,27.17 2 1
webapp/cmd/api/utilities.go:30.3,30.18 1 1
webapp/cmd/api/utilities.go:27.17,29.4 1 0
webapp/cmd/api/utilities.go:39.16,41.3 1 0
webapp/cmd/api/utilities.go:45.84,47.21 2 1
webapp/cmd/api/utilities.go:51.2,59.53 3 1
webapp/cmd/api/utilities.go:47.21,49.3 1 1
webapp/cmd/api/utilities.go:62.98,70.16 6 1
webapp/cmd/api/utilities.go:75.2,76.19 2 1
webapp/cmd/api/utilities.go:80.2,80.12 1 1
webapp/cmd/api/utilities.go:70.16,72.3 1 1
webapp/cmd/api/utilities.go:76.19,78.3 1 0
webapp/cmd/api/api-handlers.go:24.78,29.16 3 1
webapp/cmd/api/api-handlers.go:35.2,36.16 2 1
webapp/cmd/api/api-handlers.go:42.2,43.16 2 1
webapp/cmd/api/api-handlers.go:49.2,50.16 2 1
webapp/cmd/api/api-handlers.go:55.2,68.49 2 1
webapp/cmd/api/api-handlers.go:29.16,32.3 2 1
webapp/cmd/api/api-handlers.go:36.16,39.3 2 1
webapp/cmd/api/api-handlers.go:43.16,46.3 2 1
webapp/cmd/api/api-handlers.go:50.16,53.3 2 0
webapp/cmd/api/api-handlers.go:77.73,79.16 2 1
webapp/cmd/api/api-handlers.go:84.2,87.97 3 1
webapp/cmd/api/api-handlers.go:91.2,91.16 1 1
webapp/cmd/api/api-handlers.go:96.2,96.78 1 1
webapp/cmd/api/api-handlers.go:102.2,103.16 2 1
webapp/cmd/api/api-handlers.go:108.2,109.16 2 1
webapp/cmd/api/api-handlers.go:114.2,115.16 2 1
webapp/cmd/api/api-handlers.go:120.2,132.49 2 1
webapp/cmd/api/api-handlers.go:79.16,82.3 2 0
webapp/cmd/api/api-handlers.go:87.97,89.3 1 1
webapp/cmd/api/api-handlers.go:91.16,94.3 2 1
webapp/cmd/api/api-handlers.go:96.78,99.3 2 1
webapp/cmd/api/api-handlers.go:103.16,106.3 2 0
